Section,Title A,Title B,Title C,Description,Type
Tops,Starter and Extended Rails,Rail Singles for Single Sided Big Tables,None,Single Starter Rails for Single Sided Big Tables,
Tops,Starter and Extended Rails,Rail Singles for Single Sided Big Tables,None,Single Extended Rails for Single Sided Big Tables,
Tops,Return and Bridge Rails,"Rail Pairs For Desks, Tables or Big Tables",None,"Return Rails for any Depth Desk or 24"" Deep Big Tables (pair)",
Tops,Return and Bridge Rails,"Rail Pairs For Desks, Tables or Big Tables",None,"Return Rails for Big Tables 27"" Deep (pair)",
Tops,Return and Bridge Rails,"Rail Pairs For Desks, Tables or Big Tables",None,"Return Rails for Big Tables 30"" Deep (pair)",
Tops,Return and Bridge Rails,"Rail Pairs For Desks, Tables or Big Tables",None,Bridge Rails (pair),
Tops,Desk Connectors,Connector Kit for Extension Tops and Cabinets,None,Connector Kit for Desk Extension Tops,
Tops,Desk Connectors,Connector Kit for Extension Tops and Cabinets,None,Connector Kit for Big Table Extension Tops,
Tops,Desk Connectors,Connector Kit for Extension Tops and Cabinets,None,Connector Kit for Above Desk Extension Cabinets,
Tops,Desk Connectors,Connector Kit for Extension Tops and Cabinets,None,Connector Kit for Above or Below Desk Extension Cabinets,
Tops,Desk Connectors,Connector Kit for Extension Tops and Cabinets,None,Connector Kit for Above and Below Big Table Extension Cabinets,
Tops,Desk Support Adapters,"For Fence, Template, Floorstanding Cabinets and Pedestals",None,Fence Desk Support Adapters (pair),
Tops,Desk Support Adapters,"For Fence, Template, Floorstanding Cabinets and Pedestals",None,Template or Antenna Floorstanding Cabinet Desk Support Adapters (pair),
Tops,Desk Support Adapters,"For Fence, Template, Floorstanding Cabinets and Pedestals",None,Template or Antenna Floorstanding Cabinet Desk Support Adapters for Big Table,
Tops,Desk Support Adapters,"For Fence, Template, Floorstanding Cabinets and Pedestals",None,Pedestal Desk Support Adapters (pair),
Tops,Desk Support Adapters,"For Fence, Template, Floorstanding Cabinets and Pedestals",None,Double Wide Pedestal Desk Support Adapters (pair),
Tops,Desk Support Adapters,"For Fence, Template, Floorstanding Cabinets and Pedestals",None,Pedestal Positioning Brackets,
Tops,Components for Reconfigurations,"Connectors, End Caps, Worksurface Spacers and Flat Brackets",None,Return or Bridge Rail Connector Kit (pair),
Tops,Components for Reconfigurations,"Connectors, End Caps, Worksurface Spacers and Flat Brackets",None,Rail End Caps (Set of 4),
Tops,Components for Reconfigurations,"Connectors, End Caps, Worksurface Spacers and Flat Brackets",None,Rail to Worksurface Spacers,
Tops,Components for Reconfigurations,"Connectors, End Caps, Worksurface Spacers and Flat Brackets",None,Flat Brackets Kit (pair),
Tops,Center Beam for Big Tables,"Center Beam, End Caps and Top Caps",None,Center Beam (no drilling for T-light cable),
Tops,Center Beam for Big Tables,"Center Beam, End Caps and Top Caps",None,Center Beam (Drilled for T-light cable),
Tops,Center Beam for Big Tables,"Center Beam, End Caps and Top Caps",None,Center Beam Top Caps,
Tops,Center Beam for Big Tables,"Center Beam, End Caps and Top Caps",None,Center Beam End Caps (Full Height Shown),
Tops,"Center Beam for Big Tables, Table Desk and Wide End Leg",Center Beam,None,"Center Beam, End Position (no drilling for T-light cable)",
Tops,"Center Beam for Big Tables, Table Desk and Wide End Leg",Center Beam,None,"Center Beam, Dual Back to Back (no drilling for T-light cable)",
Tops,"Center Beam, Dual Back to Back (no drilling for T-light cable)",For Desk and Big Tables,None,KnollExtra Keyboard Tray Mount Kit,
Tops,"Center Beam, Dual Back to Back (no drilling for T-light cable)",For Desk and Big Tables,None,KnollExtra CPU Holder Mount Kit,
Tops,Legs for Desks or Returns,"Desk, Low Desk, Standing, Adjustable Height and Pinset",None,Desk Height End Legs for Desks or Returns,
Tops,Legs for Desks or Returns,"Desk, Low Desk, Standing, Adjustable Height and Pinset",None,Desk Height End Legs with Casters for Desks or Returns,
Tops,Legs for Desks or Returns,"Desk, Low Desk, Standing, Adjustable Height and Pinset",None,Low Desk Height End Legs with Casters for Desks or Returns,
Tops,Legs for Desks or Returns,"Desk, Low Desk, Standing, Adjustable Height and Pinset",None,Standing Height End Legs for Desks or Returns,
Tops,Legs for Desks or Returns,"Desk, Low Desk, Standing, Adjustable Height and Pinset",None,Adjustable Height End Legs for Desks or Returns,
Tops,Legs for Desks or Returns,"Desk, Low Desk, Standing, Adjustable Height and Pinset",None,Pinset Desk End Legs for Desks or Returns,
Tops,Legs for Desks or Returns,Desk Height Wood Wrap,None,"Wood wrap for Desk Height End Leg, Pair",
Tops,Legs for Table Desks,Desk and Adjustable Height,None,Desk Height End Legs for Table Desks,
Tops,Legs for Table Desks,Desk and Adjustable Height,None,Desk Height End Legs with Casters for Table Desks,
Tops,Legs for Table Desks,Desk and Adjustable Height,None,Adjustable Height End Legs for Table Desks,
Tops,Legs for Back to Back Desks,Desk Height and Adjustable Height,None,Desk Height End Legs for Back to Back Desks,
Tops,Legs for Back to Back Desks,Desk Height and Adjustable Height,None,Adjustable Height End Legs for Back to Back Desks,
Tops,Legs for Dual Sided Big Tables,Desk Height,None,Desk Height End Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Desk Height,None,Desk Height Table Desk End Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Desk Height,None,Desk Height Wide End Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Desk Height,None,Desk Height Intermediate Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Desk Height,None,Desk Height Inset Intermediate Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Desk Height,None,Desk Height Deep Inset Intermediate Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Desk Height,None,Desk Height Mid Span Support Leg for Center Beam,
Tops,Legs for Dual Sided Big Tables,Adjustable Height,None,Adjustable Height End Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Adjustable Height,None,Adjustable Height Intermediate Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Adjustable Height,None,Adjustable Height Inset Intermediate Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Adjustable Height,None,Adjustable Height Deep Inset Intermediate Leg for Dual Big Tables,
Tops,Legs for Dual Sided Big Tables,Adjustable Height,None,Adjustable Height Mid Span Support Leg for Center Beam,
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 36""",None,"36"" Standing Height End Leg for Dual Big Tables",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 36""",None,"36"" Standing Height Intermediate Leg for Dual Big Tables",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 36""",None,"36"" Standing Height Inset Intermediate Leg for Dual Big Tables, Drilled for Diagonal Brace",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 36""",None,Support brace kit for standing height inset intermediate leg,
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 36""",None,"36"" Standing Height End Leg for Dual Big Tables, Drilled for Diagonal Brace",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 36""",None,"36"" Support brace kit for standing height End Leg",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 42""",None,"42"" Standing Height End Leg for Dual Big Tables",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 42""",None,"42"" Standing Height Inset Intermediate Leg for Dual Big Tables, Drilled for Diagonal Brace",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 42""",None,"42"" Support brace kit for standing height inset intermediate leg",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 42""",None,"42"" Standing Height End Leg for Dual Big Tables, Drilled for Diagonal Brace",
Tops,Legs for Standing Height Dual Sided Big Tables,"Standing Height 42""",None,"42"" Support brace kit for standing height End Leg",
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height End Legs for Single Sided Basic Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height End Legs for Single Sided Basic Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height Table Desk End Leg for Single Sided Basic Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height Table Desk End Leg for Single Sided Basic Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height Wide End Leg for Single Sided Basic Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height Wide End Leg for Single Sided Basic Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height Inset Intermediate Legs for Single Sided Basic Big Tables,
Tops,Legs for Single Sided Big Tables,"Desk Height, Basic",None,Desk Height Intermediate Legs for Single Sided Basic Big Tables,
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Basic",None,Adjustable Height End Legs for Single Sided Basic Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Basic",None,Adjustable Height End Legs for Single Sided Basic Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Basic",None,Adjustable Height Intermediate Legs for Single Sided Basic Big Tables,
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Basic",None,Adjustable Height Inset Intermediate Legs for Single Sided Basic Big Tables,
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height End Legs for Single Sided Full Back Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height End Legs for Single Sided Full Back Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height Table Desk End Leg for Single Sided Full Back Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height Table Desk End Leg for Single Sided Full Back Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height Wide End Leg for Single Sided Full Back Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height Wide End Leg for Single Sided Full Back Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height Inset Intermediate Legs for Single Sided Full Back Big Tables,
Tops,Legs for Single Sided Big Tables,"Desk Height, Full Back",None,Desk Height Intermediate Legs for Single Sided Full Back Big Tables,
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Full Back",None,Adjustable Height End Legs for Single Sided Full Back Big Tables (Left Shown),
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Full Back",None,Adjustable Height End Legs for Single Sided Full Back Big Tables (Right Shown),
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Full Back",None,Adjustable Height Intermediate Legs for Single Sided Full Back Big Tables,
Tops,Legs for Single Sided Big Tables,"Adjustable Height, Full Back",None,Adjustable Height Inset Intermediate Legs for Single Sided Full Back Big Tables,
Tops,Modesty Panels for Desks or Returns,Half Height,"Painted, Laminate or Veneer","Modesty Panels for Desks or Returns, Half Height",
Tops,Modesty Panels for Desks or Returns,Half Height,"Painted, Laminate or Veneer","Modesty Panels for Desks or Returns, Half Height with Cord Passage",
Tops,Modesty Panels for Desks or Returns,Full Height,"Painted, Laminate or Veneer","Modesty Panels for Desks or Returns, Full Height",
Tops,Modesty Panels for Desks or Returns,Full Height,"Painted, Laminate or Veneer","Modesty Panels for Desks or Returns, Full Height with Cord Passage",
Tops,Back Panels for Single Sided Big Tables,Full Performance,"Painted, Laminate or Veneer","Back Panels for Single Sided Big Table, Full Performance",
Tops,Back Panels for Single Sided Big Tables,Basic,"Painted, Laminate or Veneer","Back Panels for Single Sided Big Table, Basic",
Tops,End Panels,Half Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Half Height",
Tops,End Panels,Half Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Half Height for use with Modesty Panels",
Tops,End Panels,Half Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Half Height with Cord Passage",
Tops,End Panels,Half Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Half Height with Cord Passage for use with Modesty Panels",
Tops,End Panels,Full Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Full Height",
Tops,End Panels,Full Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Full Height for use with Modesty Panels",
Tops,End Panels,Full Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Full Height with Cord Passage",
Tops,End Panels,Full Height for Desks or Returns,"Painted, Laminate or Veneer","End Panels for Desks or Returns, Full Height with Cord Passage for use with Modesty Panels",
Tops,End Panels,For Back to Back Desks,"Painted, Laminate or Veneer","End Panels for Back to Back Desks, Half Height",
Tops,End Panels,For Back to Back Desks,"Painted, Laminate or Veneer","End Panels for Back to Back Desks, Full Height",
Tops,End Panels,For Dual Big Tables,"Painted, Laminate or Veneer","End Panels for Dual Sided Big Tables, Full Height",
Tops,End Panels,For Single Sided Big Tables,"Painted, Laminate or Veneer","End Panels for Single Sided Big Tables, Full Performance, Left Hand",
Tops,End Panels,For Single Sided Big Tables,"Painted, Laminate or Veneer","End Panels for Single Sided Big Tables, Full Performance, Right Hand",
Tops,End Panels,For Single Sided Big Tables,"Painted, Laminate or Veneer","End Panels for Single Sided Big Tables, Basic, Left Hand",
Tops,End Panels,For Single Sided Big Tables,"Painted, Laminate or Veneer","End Panels for Single Sided Big Tables, Basic, Right Hand",
Tops,End Panels,For Single Sided Big Tables,"Painted, Laminate or Veneer","End Panels for Single Sided Big Tables, Basic, Non-handed",
Tops,End Panels,For Standing Height Dual Big Tables,Laminate or Veneer,"End Panels for Standing Height Dual Sided Big Tables 36""H",
Tops,End Panels,For Standing Height Dual Big Tables,Laminate or Veneer,"End Panels for Standing Height Dual Sided Big Tables 42""H",
Tops,Enclave End Panels,For Dual Sided Big Tables,Laminate or Veneer,"Enclave End Panel to 42""H",
Tops,Enclave End Panels,For Dual Sided Big Tables,Laminate or Veneer,"Enclave End Panel to 49""H",
Tops,Enclave End Panels,For Dual Sided Big Tables,Laminate or Veneer,"Enclave End Panel to 56""H",
Tops,Sales and Installation Tools,Installation Gauge,None,Installation Gauge,
Tops,Sales and Installation Tools,Installation Gauge,None,Desk Screen Drill Fixture,
Tops,Sales and Installation Tools,Installation Gauge,None,Desk Screen Alignment Pin,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Power Harnesses,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Power Harness Mounting Brackets for Desks,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Communications Mounting Box,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Communications Mounting Plate,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,PDC Module Extension Kit,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Raceway Covers (pair),
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Raceway End Cap,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Covers for Exposed End of Power Harness,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Infeeds,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Vertical Infeeds,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Duplex Receptacles,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Duplex Receptacles for 4-4-2,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,USB Duplex,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,Outlet Fillers,
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Jumper Cable, 2+2",
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Jumper Cable, 3+3",
Power and Communications,Electrical Components for Desks and Big Tables,"2+2, 3+3 and 4-4-2 Electrical Systems",None,"Jumper Cable, 4-4-2",
Power and Communications,Hardwire Raceway,For Big Tables,None,"Dual Hardwire Raceway, 30""",
Power and Communications,Hardwire Raceway,For Big Tables,None,"Dual Hardwire Raceway, 42""",
Power and Communications,Hardwire Raceway,For Big Tables,None,Flat end cover,
Power and Communications,Hardwire Raceway,For Big Tables,None,Extended end cover,
Power and Communications,Surface Mounted Plugmold Raceway,For Desks and Big Tables,None,"Plugmold, Single Circuit",
